,1,2,3,4,5,6,bonus
959,1,14,15,24,40,41,35
958,2,9,10,16,35,37,1
957,4,15,24,35,36,40,1
956,10,11,20,21,25,41,40
955,4,9,23,26,29,33,8
954,1,9,26,28,30,41,32
953,7,9,22,27,37,42,34
952,4,12,22,24,33,41,38
951,2,12,30,31,39,43,38
950,3,4,15,22,28,40,10
949,14,21,35,36,40,44,30
948,13,18,30,31,38,41,5
947,3,8,17,20,27,35,26
946,9,18,19,30,34,40,20
945,9,10,15,30,33,37,26
944,2,13,16,19,32,33,42
943,1,8,13,36,44,45,39
942,10,12,18,35,42,43,39
941,12,14,25,27,39,40,35
940,3,15,20,22,24,41,11
939,4,11,28,39,42,45,6
938,4,8,10,16,31,36,9
937,2,10,13,22,29,40,26
936,7,11,13,17,18,29,43
935,4,10,20,32,38,44,18
934,1,3,30,33,36,39,12
933,23,27,29,31,36,45,37
932,1,6,15,36,37,38,5
931,14,15,23,25,35,43,32
930,8,21,25,38,39,44,28
929,7,9,12,15,19,23,4
928,3,4,10,20,28,44,30
927,4,15,22,38,41,43,26
926,10,16,18,20,25,31,6
925,13,24,32,34,39,42,4
924,3,11,34,42,43,44,13
923,3,17,18,23,36,41,26
922,2,6,13,17,27,43,36
921,5,7,12,22,28,41,1
920,2,3,26,33,34,43,29
919,9,14,17,18,42,44,35
918,7,11,12,31,33,38,5
917,1,3,23,24,27,43,34
916,6,21,22,32,35,36,17
915,2,6,11,13,22,37,14
914,16,19,24,33,42,44,27
913,6,14,16,21,27,37,40
912,5,8,18,21,22,38,10
911,4,5,12,14,32,42,35
910,1,11,17,27,35,39,31
909,7,24,29,30,34,35,33
908,3,16,21,22,23,44,30
907,21,27,29,38,40,44,37
906,2,5,14,28,31,32,20
905,3,4,16,27,38,40,20
904,2,6,8,26,43,45,11
903,2,15,16,21,22,28,45
902,7,19,23,24,36,39,30
901,5,18,20,23,30,34,21
900,7,13,16,18,35,38,14
899,8,19,20,21,33,39,37
898,18,21,28,35,37,42,17
897,6,7,12,22,26,36,29
896,5,12,25,26,38,45,23
895,16,26,31,38,39,41,23
894,19,32,37,40,41,43,45
893,1,15,17,23,25,41,10
892,4,9,17,18,26,42,36
891,9,13,28,31,39,41,19
890,1,4,14,18,29,37,6
889,3,13,29,38,39,42,26
888,3,7,12,31,34,38,32
887,8,14,17,27,36,45,10
886,19,23,28,37,42,45,2
885,1,3,24,27,39,45,31
884,4,14,23,28,37,45,17
883,9,18,32,33,37,44,22
882,18,34,39,43,44,45,23
881,4,18,20,26,27,32,9
880,7,17,19,23,24,45,38
879,1,4,10,14,15,35,20
878,2,6,11,16,25,31,3
877,5,17,18,22,23,43,12
876,5,16,21,26,34,42,24
875,19,22,30,34,39,44,36
874,1,15,19,23,28,42,32
873,3,5,12,13,33,39,38
872,2,4,30,32,33,43,29
871,2,6,12,26,30,34,38
870,21,25,30,32,40,42,31
869,2,6,20,27,37,39,4
868,12,17,28,41,43,44,25
867,14,17,19,22,24,40,41
866,9,15,29,34,37,39,12
865,3,15,22,32,33,45,2
864,3,7,10,13,25,36,32
863,16,21,28,35,39,43,12
862,10,34,38,40,42,43,32
861,11,17,19,21,22,25,24
860,4,8,18,25,27,32,42
859,8,22,35,38,39,41,24
858,9,13,32,38,39,43,23
857,6,10,16,28,34,38,43
856,10,24,40,41,43,44,17
855,8,15,17,19,43,44,7
854,20,25,31,32,36,43,3
853,2,8,23,26,27,44,13
852,11,17,28,30,33,35,9
851,14,18,22,26,31,44,40
850,16,20,24,28,36,39,5
849,5,13,17,29,34,39,3
848,1,2,16,22,38,39,34
847,12,16,26,28,30,42,22
846,5,18,30,41,43,45,13
845,1,16,29,33,40,45,6
844,7,8,13,15,33,45,18
843,19,21,30,33,34,42,4
842,14,26,32,36,39,42,38
841,5,11,14,30,33,38,24
840,2,4,11,28,29,43,27
839,3,9,11,12,13,19,35
838,9,14,17,33,36,38,20
837,2,25,28,30,33,45,6
836,1,9,11,14,26,28,19
835,9,10,13,28,38,45,35
834,6,8,18,35,42,43,3
833,12,18,30,39,41,42,19
832,13,14,19,26,40,43,30
831,3,10,16,19,31,39,9
830,5,6,16,18,37,38,17
829,4,5,31,35,43,45,29
828,4,7,13,29,31,39,18
827,5,11,12,29,33,44,14
826,13,16,24,25,33,36,42
825,8,15,21,31,33,38,42
824,7,9,24,29,34,38,26
823,12,18,24,26,39,40,15
822,9,18,20,24,27,36,12
821,1,12,13,24,29,44,16
820,10,21,22,30,35,42,6
819,16,25,33,38,40,45,15
818,14,15,25,28,29,30,3
817,3,9,12,13,25,43,34
816,12,18,19,29,31,39,7
815,17,21,25,26,27,36,4
814,2,21,28,38,42,45,30
813,11,30,34,35,42,44,27
812,1,3,12,14,16,43,10
811,8,11,19,21,36,45,25
810,5,10,13,21,39,43,11
809,6,11,15,17,23,40,39
808,15,21,31,32,41,43,24
807,6,10,18,25,34,35,33
806,14,20,23,31,37,38,27
805,3,12,13,18,31,32,42
804,1,10,13,26,32,36,9
803,5,9,14,26,30,43,2
802,10,11,12,18,24,42,27
801,17,25,28,37,43,44,2
800,1,4,10,12,28,45,26
799,12,17,23,34,42,45,33
798,2,10,14,22,32,36,41
